<<<<<<< HEAD
Time;Iteration;Ratio;GPolarization;I1;I2;RatioStdError;GPolarizationStdError;I1StdError;I2StdError;RealTime;RealTemperature
1146.31;1;2,9756768;0.496941;20357.2;6841.2;0,027543191;0,004901859;107,4675;52,014168;5116,889;21,6666
1151.98;1;3,029417;0.50365028;20555.2;6785.2;0,033094272;0,005290625;112,09019;64,228212;5122,5647;21,66
1157.76;1;3,0260952;0.50324076;20363.2;6729.2;0,024328202;0,00403595;86,162637;46;5128,3418;21,66
1163.52;1;3,0826367;0.51012051;20651.2;6699.2;0,032647372;0,005263469;112,92848;60,760098;5134,1004;21,66
1169.2;1;3,0640772;0.50788336;20447.2;6673.2;0,038807699;0,005636103;113,10359;76,031849;5139,7836;21,66
1174.87;1;3,0627302;0.5077202;20291.2;6625.2;0,02693723;0,004461095;95,030189;49,321715;5145,4487;21,6733
1180.55;1;3,0070464;0.50087925;20313.2;6755.2;0,029401206;0,004333901;86,400536;59,471355;5151,1333;21,6766
1186.31;1;3,0067484;0.50084212;20317.2;6757.2;0,032865358;0,004684229;91,235958;67,338892;5156,891;21,6766
1191.98;1;3,0091351;0.50113929;20291.2;6743.2;0,029453042;0,0046276;95,73648;57,827329;5162,5628;21,67
1197.64;1;3,0082016;0.5010231;20393.2;6779.2;0,02764829;0,004258331;87,562309;55,090356;5168,2272;21,67
1203.3;1;3,015273;0.50190187;20453.2;6783.2;0,032671394;0,005516783;119,13637;61,974528;5173,8867;21,68
1208.97;1;2,995517;0.499439;20313.2;6781.2;0,028498484;0,005036365;109,9464;53,056078;5179,5511;21,68
1214.63;1;3,0284476;0.50353083;20397.2;6735.2;0,02786022;0,004412762;92,336912;53,939537;5185,2093;21,68
1220.31;1;2,9393025;0.49229591;20261.2;6893.2;0,033739257;0,005250182;106,87031;70,276147;5190,8861;21,6833
1225.97;1;3,0495873;0.50612251;20393.2;6687.2;0,031801097;0,005326058;114,4865;58,766263;5196,5533;21,6866
1231.65;1;3,0377763;0.50467786;20393.2;6713.2;0,033683449;0,005677985;122,31022;62,608222;5202,2352;21,6866
1237.33;1;2,979259;0.49739386;20167.2;6769.2;0,041632188;0,006788761;141,87021;81,732555;5207,905;21,69
1243;1;3,0670341;0.50824115;20479.2;6677.2;0,027604911;0,005077633;113,43071;47,370877;5213,5807;21,69
1248.67;1;3,0186151;0.50231611;20367.2;6747.2;0,028170446;0,004630396;98,412665;53,869237;5219,2568;21,69
1254.34;1;2,9335374;0.4915518;20321.2;6927.2;0,03788853;0,00513766;93,820658;83,557733;5224,9216;21,6933
1260.03;1;2,996688;0.49958565;20267.2;6763.2;0,033408091;0,005612521;119,7049;63,947347;5230,612;21,6933
1265.68;1;3,0011221;0.50014022;20327.2;6773.2;0,031035334;0,005069038;107,06024;60,278302;5236,2623;21,6933
1271.36;1;3,0055301;0.5006903;20435.2;6799.2;0,040442622;0,005925754;118,33939;82,584566;5241,9373;21,7066
1277.03;1;2,9952249;0.4994024;20323.2;6785.2;0,027769128;0,005089872;112,67466;50,419295;5247,6111;21,7
1282.69;1;3,0211053;0.50262432;20269.2;6709.2;0,026053281;0,004219636;88,651892;49,865081;5253,2674;21,7
1288.38;1;2,9562813;0.49447477;20313.2;6871.2;0,036902588;0,005598798;112,7447;76,826531;5258,9669;21,7
1294.05;1;2,948715;0.49350612;20560.8;6972.8;0,037530895;0,006342633;137,15608;75,583345;5264,6346;21,7133
1302.78;1;2,9756211;0.49693395;20456.8;6874.8;0,026705091;0,005440867;125,30384;45,094054;5273,3636;21,7133
1308.46;1;2,9307441;0.49119049;20464.8;6982.8;0,028961666;0,005137593;112,88;57,25474;5279,0435;21,7166
1314.13;1;3,0114306;0.50142475;20654.8;6858.8;0,030039098;0,004754719;100,54483;59,716876;5284,7118;21,7166
1319.79;1;3,0353176;0.50437606;20660.8;6806.8;0,031205969;0,005058033;108,47847;60,166436;5290,369;21,71
1325.47;1;2,9954022;0.49942461;20586.8;6872.8;0,030820264;0,005525167;122,90775;57,593859;5296,0509;21,71
1331.14;1;2,9521981;0.49395249;20602.8;6978.8;0,027778633;0,004274315;88,032291;58,50596;5301,7191;21,72
1336.81;1;3,0067473;0.500842;20676.8;6876.8;0,02767286;0,004757;104,58942;52,875226;5307,396;21,72
1342.49;1;3,0229838;0.50285656;20570.8;6804.8;0,034810222;0,005056088;101,37061;70,820752;5313,0773;21,7233
1348.18;1;2,9844257;0.4980456;20618.8;6908.8;0,026561679;0,003948466;80,024996;55,33439;5318,7672;21,7233
1353.85;1;3,015823;0.50197008;20660.8;6850.8;0,036051104;0,004802336;90,164761;76,241997;5324,4343;21,7266
1359.54;1;3,0012208;0.50015255;20650.8;6880.8;0,027424961;0,00489213;108,97706;51,331738;5330,121;21,7266
1365.2;1;3,0232435;0.50288866;20602.8;6814.8;0,03473303;0,005256622;108,31824;69,613973;5335,7814;21,73
1370.88;1;2,9682145;0.49599498;20506.8;6908.8;0,035482788;0,005486793;113,09521;73,275256;5341,4592;21,73
1376.54;1;3,0263789;0.50327576;20696.8;6838.8;0,030698973;0,004445844;89,56033;62,742582;5347,1236;21,73
1382.21;1;2,9326747;0.49144027;20542.8;7004.8;0,036487234;0,005887348;124,01273;76,20471;5352,7882;21,7333
1387.9;1;2,9245885;0.49039243;20538.8;7022.8;0,029711332;0,004868684;103,3125;61,986416;5358,4793;21,7333
>>>>>>> 3bafce2d0318ae71836e52bbff0813f15cec0aa1
